playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesKickoffKicker,gradesKickReturn,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker
43872,Mason White,S,0,0,,2026,265,67.9,27.6,D01,0,1,1,0,0,2,5,7,0,1,OREGON ST,OREGON ST,14,,,,,,,,
53418,James Camden,LB,0,0,,2026,347,63,68.2,D09,0,0,1,0,1,6,2,5,1,0,W MICHIGAN,W MICHIGAN,15,60,,,,,,,
62235,Shaun Myers,LB,0,0,,2027,143,61.2,62.3,D40,0,0,1,0,3,0,0,0,3,0,COLORADO,COLORADO,6,59.9,,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,58.8,63.7,D94,0,0,1,0,4,0,0,0,0,0,WYOMING,WYOMING,4,58.8,,,,,,,
70670,Cash McVay,K,0,0,,2026,108,60,69.4,S43,0,0,1,0,0,7,0,0,0,0,APP STATE,APP STATE,7,,76.1,,,,,,
70877,Calvin Pitcher,LB,0,0,,2026,321,59.7,68,D06,0,0,1,0,3,6,0,3,0,1,UAB,UAB,12,60,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,60.4,66.4,D24,0,0,1,0,1,0,6,0,0,0,ARIZONA ST,ARIZONA ST,7,59.9,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,60,64.3,D01,0,0,1,0,0,0,0,0,1,0,ALABAMA,ALABAMA,1,,,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,128,59.2,63.2,D57,0,0,1,0,3,0,0,0,0,0,BYU,BYU,3,59.1,,,,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,60.5,67,07,0,0,1,0,0,1,0,0,1,0,NEVADA,NEVADA,2,,,,,,,,
71596,Aaron Smith,CB,1,0,,2026,241,79.5,67.3,D29,0,0,1,0,0,4,4,7,0,1,NEW MEXICO,NEW MEXICO,15,,,,,,,,
71698,Jayden Dixon-Veal,WR,0,0,,2026,130,58.3,69.7,10,0,0,1,0,0,1,6,0,0,0,CAL,CAL,7,,,59.9,,,,,
72318,Solomone Langi,DI,0,0,,2028,285,60.7,62.6,D51,0,0,1,3,1,0,0,0,0,0,S JOSE ST,S JOSE ST,4,59.6,,,60,,,,
72324,Sonny Makasini,G,0,0,,2027,128,62.5,68.1,51,0,0,1,9,0,0,0,0,0,0,BYU,BYU,9,,,,64.2,,,,
72338,Raider Damuni,S,0,0,,2028,128,61,67.1,D03,0,0,1,0,1,5,0,0,0,0,BYU,BYU,6,59.9,,,,,,,
72376,Cam Davis,HB,0,0,,2026,225,60,64.2,23,0,0,1,0,0,0,2,0,0,0,MINNESOTA,MINNESOTA,2,,,59.9,,,,,
72388,Justin Flowe,LB,0,0,,2027,325,61.9,65.4,D36,0,0,1,0,0,7,0,0,0,0,UNLV,UNLV,7,,,,,,,,
72474,Ian Shewell,DI,0,0,,2027,110,60.9,70.5,D52,0,0,1,0,0,0,0,0,2,0,ARIZONA ST,ARIZONA ST,2,,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,60.1,63.1,D39,0,0,1,0,3,0,0,0,0,0,FRESNO ST,FRESNO ST,3,60,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,61.2,61.5,53,0,0,1,6,1,0,0,0,0,0,W KENTUCKY,W KENTUCKY,7,60,,,60,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,60.7,66,D53,0,0,1,0,4,2,0,4,2,0,BOISE ST,BOISE ST,12,59.8,,,,,,,
73609,Trent Whalen,LB,0,0,,2026,111,60.8,68.7,D26,0,0,1,0,0,0,6,0,0,0,ARKANSAS,ARKANSAS,6,,,,,,,,
73621,Elijah Gilliam,HB,0,0,,2026,169,61.6,70.1,33,0,0,1,0,0,0,0,0,4,0,FRESNO ST,FRESNO ST,4,,,,,,,,
73658,Gio De Leon,LB,0,0,,2026,126,67.9,67.9,D45,0,0,1,0,0,5,6,5,1,0,BUFFALO,BUFFALO,17,,,,,,,,
73697,Sioeli Helu,C,0,0,,2027,242,61.4,63.1,58,0,0,1,4,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,4,,,,60,,,,
73699,Cory Hall,DI,0,0,,2026,325,61.8,68.8,D97,0,0,1,6,0,0,0,0,0,0,UNLV,UNLV,6,,,,60,,,,
73935,Cade McConnell,QB,0,0,,2026,330,60,60.3,11,0,0,1,2,0,0,0,0,0,0,UTEP,UTEP,2,,,,60,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,56.1,65.4,D51,0,0,1,0,0,5,3,1,0,1,USC,USC,9,,,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,66.9,68.9,D21,0,0,1,0,0,6,2,4,4,1,HAWAII,HAWAII,16,,,,,,,,
74395,Zion Branch,S,0,0,,2027,173,61.8,64.1,D02,0,0,1,0,2,5,0,0,1,0,GEORGIA,GEORGIA,8,60,,,,,,,
74638,Jack Monday,TE,0,0,,2026,202,60,63.7,83,0,0,1,0,0,0,1,0,0,0,KENTUCKY,KENTUCKY,1,,,,,,,,
74652,AJ Vaipulu,G,0,0,,2026,341,60,63.3,66,0,0,1,0,0,0,0,1,0,0,WASH STATE,WASH STATE,1,,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,60.2,62.3,D29,0,0,1,0,2,0,0,0,2,0,MIAMI OH,MIAMI OH,4,60,,,,,,,
75285,Aneesh Vyas,DI,0,0,,2026,351,58.9,64.2,D90,0,0,1,0,4,0,0,0,0,0,WYOMING,WYOMING,4,58.9,,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,61.6,65.9,77,0,0,1,5,0,0,0,0,0,0,OHIO STATE,OHIO STATE,5,,,,60,,,,
76122,Bam Booker,ED,0,0,,2027,122,61.7,68,D45,0,0,1,7,1,0,0,3,0,0,BOWL GREEN,BOWL GREEN,11,59.8,,,60,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,60.8,70.2,18,0,0,1,0,0,0,2,4,7,0,INDIANA,INDIANA,13,,,,,,,,
83446,Brendon Harris,S,0,0,,2026,224,60.1,68.5,D07,0,0,1,0,2,5,0,7,0,0,MIDDLE TN,MIDDLE TN,14,60,,,,,,,
85725,Jayden Dunlap,CB,0,0,,2026,128,61.3,65.6,D29,0,0,1,0,1,7,0,0,0,0,BYU,BYU,8,60,,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,59.9,64.4,D56,0,0,1,0,2,0,0,0,1,0,OKLAHOMA,OKLAHOMA,3,59.2,,,,,,,
86146,Toreon Penright,T,0,0,,2026,169,61,61.8,77,0,0,1,3,0,0,0,0,0,0,FRESNO ST,FRESNO ST,3,,,,60,,,,
86267,Kalib Perry,LB,0,0,,2027,210,66.6,65.4,D12,0,0,1,0,0,8,0,4,0,1,LOUISVILLE,LOUISVILLE,12,,,,,,,,
86298,Blake Ruffin,S,0,0,,2027,210,66.2,70.6,D29,0,0,1,0,0,8,1,4,7,0,LOUISVILLE,LOUISVILLE,20,,,,,,,,
86353,Byron Cardwell Jr.,HB,0,0,,2027,284,59.9,65.3,21,0,0,1,0,0,0,4,0,0,0,S DIEGO ST,S DIEGO ST,4,,,,,,,,
86578,Jalil Tucker,CB,0,0,,2028,265,61.7,79,D22,0,0,1,0,3,0,0,0,1,0,OREGON ST,OREGON ST,4,60,,,,,,,
