playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesKickReturn,gradesLongSnap,gradesPuntReturn,gradesFgepKicker,gradesPunter
24577,Eric Goins,K,0,0,,2025,258,66.1,60,69.8,S90,0,0,1,0,0,8,0,0,0,0,NOTRE DAME,NOTRE DAME,8,,,,,,,
41982,Cam McCormick,TE,0,0,,2025,220,,60.6,64.9,84,0,0,1,6,0,0,7,3,0,0,MIAMI FL,MIAMI FL,16,60,,,,,,
43872,Mason White,CB,0,0,,2026,265,,61.1,65.7,D01,0,0,1,0,0,4,0,0,1,0,OREGON ST,OREGON ST,5,,,,,,,
51815,Skip Velotta,S,0,0,,2025,211,,60,64.6,D34,0,0,1,0,0,1,0,0,0,0,LSU,LSU,1,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,61.3,62.7,88,0,0,1,5,0,1,0,0,0,0,NWESTERN,NWESTERN,6,60,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,,41,25.8,11,0,1,1,0,0,0,0,5,0,0,CINCINNATI,CINCINNATI,5,,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,69.6,67,D57,0,0,1,0,2,0,8,9,3,1,KENT STATE,KENT STATE,22,,59.3,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,60.7,66,82,0,0,1,3,0,0,5,0,0,0,CINCINNATI,CINCINNATI,8,60,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,58.6,70.1,19,0,0,1,0,0,0,7,3,3,0,BALL ST,BALL ST,13,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,60.4,62.4,57,0,0,1,0,0,0,0,5,0,0,MARSHALL,MARSHALL,5,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60.3,66.6,D03,0,0,1,0,4,2,0,4,1,0,UCF,UCF,11,,59.8,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,60.4,64,D97,0,0,1,0,2,0,0,0,1,0,CINCINNATI,CINCINNATI,3,,59.8,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60.1,61.4,D07,0,0,1,0,5,0,0,0,0,0,WISCONSIN,WISCONSIN,5,,60.1,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,59.9,63.5,D17,0,0,1,0,2,0,0,0,0,0,CAL,CAL,2,,59.7,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.8,62,D53,0,0,1,0,1,0,0,0,0,0,NWESTERN,NWESTERN,1,,59.6,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60.1,63.1,D03,0,0,1,0,3,0,0,0,0,0,DUKE,DUKE,3,,60,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,60.3,67.2,D35,0,0,1,0,3,0,1,0,0,0,COAST CAR,COAST CAR,4,,60,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,60,63.2,14,0,0,1,0,0,0,1,0,0,0,HAWAII,HAWAII,1,,,61.8,,,,
63872,Kam Butler,ED,0,0,,2025,335,,60.3,65.3,D82,0,0,1,0,6,0,0,0,2,0,VIRGINIA,VIRGINIA,8,,59.3,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,60.3,62.1,D00,0,0,1,0,3,0,0,0,1,0,CINCINNATI,CINCINNATI,4,,60,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,59.3,63.5,D58,0,0,1,0,3,0,0,0,0,0,OHIO STATE,OHIO STATE,3,,59.1,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,60,63.5,24,0,0,1,0,0,0,0,0,1,0,S JOSE ST,S JOSE ST,1,,,,,,,
70624,Jacob Garcia,LS,0,1,,2025,329,,52.3,25.6,S49,0,1,1,6,0,0,0,3,0,0,UTAH ST,UTAH ST,9,63.4,,,78.5,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.8,62,D94,0,0,1,0,1,0,0,0,0,0,WYOMING,WYOMING,1,,59.6,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60.2,63.8,D08,0,0,1,0,4,0,0,0,0,0,FRESNO ST,FRESNO ST,4,,60,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60,64.6,25,0,0,1,0,0,0,2,0,0,0,ARIZONA ST,ARIZONA ST,2,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,,63.9,69.5,D24,0,0,1,0,0,8,2,0,5,0,ARIZONA ST,ARIZONA ST,15,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.1,64.5,D01,0,0,1,0,2,0,0,0,0,0,ALABAMA,ALABAMA,2,,59.9,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,58.6,68.2,D00,0,0,1,0,7,0,8,0,0,0,USC,USC,15,,59.8,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,59.5,64.6,D04,0,0,1,0,8,0,0,5,0,0,USC,USC,13,,59.9,,,,,
71443,Mavin Anderson,WR,0,0,,2026,130,,30,25.5,11,0,1,1,0,0,0,0,0,5,0,CAL,CAL,5,,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,,34.4,63.5,S47,0,0,1,0,0,0,0,5,0,0,WASHINGTON,WASHINGTON,5,,,,0,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,60,62.8,07,0,0,1,0,0,0,0,0,2,0,NEVADA,NEVADA,2,,,,,60.2,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60.1,64.3,11,0,0,1,0,0,0,1,0,4,0,TEXAS,TEXAS,5,,,,,61.6,,
71957,Sheldon Newton,DI,0,0,,2025,120,,59.2,62.4,D09,0,0,1,0,2,0,0,0,0,0,BOISE ST,BOISE ST,2,,59.1,,,,,
72075,Josh Carlin,G,0,0,,2025,324,,61.4,62,54,0,0,1,4,0,0,0,0,0,0,UCLA,UCLA,4,60,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,60.3,67.2,D02,0,0,1,0,5,0,6,0,0,0,S JOSE ST,S JOSE ST,11,,60.1,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,64.6,69.3,09,0,0,1,0,0,7,8,3,4,1,UTAH ST,UTAH ST,22,,,,,,,
72200,Marist Talavou,G,0,0,,2025,285,,62,67.2,61,0,0,1,6,0,0,0,0,0,0,S JOSE ST,S JOSE ST,6,61.5,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,61.4,66.3,51,0,0,1,4,0,0,0,0,0,0,BYU,BYU,4,60,,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,60.1,63.4,D13,0,0,1,0,8,0,0,0,0,0,WASHINGTON,WASHINGTON,8,,59.8,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,60.7,65.9,D03,0,0,1,0,0,3,0,0,0,0,BYU,BYU,3,,,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,60.9,67.4,D27,0,0,1,0,0,0,8,0,4,0,UTAH ST,UTAH ST,12,,,,,,,
72376,Cam Davis,HB,0,0,,2026,340,,57.1,66.6,22,0,0,1,0,0,0,8,0,0,0,WASHINGTON,WASHINGTON,8,,,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,,60,67.1,D02,0,0,1,0,6,0,0,2,0,0,NEW MEXICO,NEW MEXICO,8,,59.6,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,53.9,69.9,D39,0,0,1,0,7,7,0,0,4,0,UTAH ST,UTAH ST,18,,59.9,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,61.1,60.9,53,0,0,1,5,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,5,60,,,,,,
