playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesLongSnap,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60,58.9,66.2,84,0,0,1,6,0,0,6,1,0,0,MIAMI FL,MIAMI FL,13,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,61.7,67.9,D01,0,0,1,0,0,7,0,0,3,0,OREGON ST,OREGON ST,10,,,,,,,
51815,Skip Velotta,S,0,0,,2025,211,,60,63.6,D34,0,0,1,0,0,1,0,0,0,0,LSU,LSU,1,,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,60,61.2,62.4,15,0,0,1,5,0,0,0,3,0,0,LIBERTY,LIBERTY,8,,,,,,,
52348,Noah Taylor,LB,0,0,,2026,256,,64.2,69.9,D38,0,0,1,0,0,2,6,0,4,1,NWESTERN,NWESTERN,12,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,60,60,60.2,88,0,0,1,1,0,0,0,0,0,0,NWESTERN,NWESTERN,1,,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,60,61.3,61.3,11,0,0,1,6,0,0,0,0,0,0,CINCINNATI,CINCINNATI,6,,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,88.3,64.7,D57,0,0,1,0,2,0,0,10,0,1,KENT STATE,KENT STATE,12,59.3,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,60,58.6,67.1,82,0,0,1,6,0,0,1,0,0,0,CINCINNATI,CINCINNATI,7,,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,61.3,67.2,19,0,0,1,0,0,0,0,2,3,0,BALL ST,BALL ST,5,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,60.2,64.2,57,0,0,1,0,0,0,8,9,0,0,MARSHALL,MARSHALL,17,,,,,,,
