playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickoffKicker,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker
43872,Mason White,S,0,0,,2026,265,60,60.7,68.2,D01,0,0,1,0,1,2,0,5,2,0,OREGON ST,OREGON ST,10,,,,,,,
53418,James Camden,LB,0,0,,2026,347,60.1,59.2,67.9,D09,0,0,1,0,2,0,0,8,0,0,W MICHIGAN,W MICHIGAN,10,,,,,,,
55516,Malik Denkins,ED,0,0,,2027,134,59.8,60,62.7,D81,0,0,1,0,1,0,0,0,0,0,C MICHIGAN,C MICHIGAN,1,,,,,,,
62235,Shaun Myers,LB,0,0,,2027,143,59.9,53,64,D40,0,0,1,0,2,0,0,2,0,0,COLORADO,COLORADO,4,,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,58.7,58.6,64.6,D94,0,0,1,0,8,0,0,0,0,0,WYOMING,WYOMING,8,,,,,,,
70670,Cash McVay,K,0,0,,2026,108,,60,67,S43,0,0,1,0,0,3,0,0,0,0,APP STATE,APP STATE,3,61.3,,,,,,
70877,Calvin Pitcher,LB,0,0,,2026,321,,62,71.7,D06,0,0,1,0,0,0,0,4,4,0,UAB,UAB,8,,,,,,,
70946,Tate Romney,LB,0,0,,2027,110,,65.1,70.2,D24,0,0,1,0,0,7,3,0,3,0,ARIZONA ST,ARIZONA ST,13,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,59.9,60.5,66.3,D01,0,0,1,0,2,0,0,0,1,0,ALABAMA,ALABAMA,3,,,,,,,
71596,Aaron Smith,CB,0,0,,2026,241,,69.6,68.9,D29,0,0,1,0,0,6,3,2,2,0,NEW MEXICO,NEW MEXICO,13,,,,,,,
72089,DJ Harvey,CB,0,0,,2026,326,59.9,60,63.5,D02,0,0,1,0,1,0,0,0,0,0,USC,USC,1,,,,,,,
72376,Cam Davis,HB,0,0,,2026,225,,59.9,65.7,23,0,0,1,0,0,0,5,0,0,0,MINNESOTA,MINNESOTA,5,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,169,59.9,60,62.2,D39,0,0,1,0,2,0,0,0,0,0,FRESNO ST,FRESNO ST,2,,,,,,,
73658,Gio De Leon,LB,1,0,,2026,126,,65,68,D45,0,0,1,0,0,5,5,0,1,0,BUFFALO,BUFFALO,11,,,,,,,
